Símbolo,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário
NVDA,Technology,Semiconductors,183.9025,212.19,86.62,184341170
AAPL,Technology,Consumer Electronics,260.33,288.62,169.21,60052330
MSFT,Technology,Software - Infrastructure,399.76,555.45,344.79,47613390
AMZN,Consumer Cyclical,Internet Retail,201.12,258.6,161.38,79948750
GOOGL,Communication Services,Internet Content & Information,302.01,349.0,140.53,49416030
GOOG,Communication Services,Internet Content & Information,302.6601,350.15,142.66,29507480
META,Communication Services,Internet Content & Information,637.72,796.25,479.8,14719370
AVGO,Technology,Semiconductors,330.72,414.61,138.1,28032770
TSLA,Consumer Cyclical,Auto Manufacturers,407.9501,498.83,214.25,61531090
BRK.B,,,0.0,0.0,0.0,0
WMT,Consumer Defensive,Discount Stores,130.31,134.69,79.81,27647050
LLY,Healthcare,Drug Manufacturers - General,1048.6301,1133.95,623.78,4384290
JPM,Financial Services,Banks - Diversified,307.1599,337.25,202.16,11219980
V,Financial Services,Credit Services,320.21,375.51,299.0,8581630
XOM,Energy,Oil & Gas Integrated,146.255,156.93,97.8,24138380
JNJ,Healthcare,Drug Manufacturers - General,242.385,246.35,141.5,9114220
MA,Financial Services,Credit Services,523.6659,601.77,465.59,4066540
MU,Technology,Semiconductors,410.575,455.5,61.54,40898480
COST,Consumer Defensive,Discount Stores,1014.0,1071.0,844.06,2443450
ORCL,Technology,Software - Infrastructure,156.12,345.72,118.86,36218110
ABBV,Healthcare,Drug Manufacturers - General,232.6,244.81,164.39,8360110
BAC,Financial Services,Banks - Diversified,53.105,57.55,33.07,42228140
HD,Consumer Cyclical,Home Improvement Retail,384.24,426.75,326.31,4106900
PG,Consumer Defensive,Household & Personal Products,159.84,179.99,137.62,11775660
CAT,Industrials,Farm & Heavy Construction Machinery,766.6053,789.81,267.3,3978660
CVX,Energy,Oil & Gas Integrated,179.8,186.52,132.04,11789530
GE,Industrials,Aerospace & Defense,328.87,332.79,159.36,5328510
KO,Consumer Defensive,Beverages - Non-Alcoholic,78.95,80.41,65.35,23272920
AMD,Technology,Semiconductors,202.595,267.08,76.48,46907120
NFLX,Communication Services,Entertainment,76.685,134.115,75.23,48353840
PLTR,Technology,Software - Infrastructure,132.5,207.52,66.12,74583710
CSCO,Technology,Communication Equipment,77.3,88.19,52.11,35158900
MRK,Healthcare,Drug Manufacturers - General,121.81,123.33,73.31,16528990
LRCX,Technology,Semiconductor Equipment & Materials,236.99,251.87,56.32,11919110
PM,Consumer Defensive,Tobacco,184.3311,190.98,142.11,6420960
AMAT,Technology,Semiconductor Equipment & Materials,359.172,376.32,123.74,9655430
GS,Financial Services,Capital Markets,914.88,984.7,439.38,2748680
MS,Financial Services,Capital Markets,172.1,192.68,94.33,9171850
WFC,Financial Services,Banks - Diversified,88.02,97.76,58.42,15560100
RTX,Industrials,Aerospace & Defense,202.09,206.48,112.27,6457580
UNH,Healthcare,Healthcare Plans,291.0,606.36,234.6,10161960
TMUS,Communication Services,Telecom Services,221.2551,276.49,181.36,8248530
IBM,Technology,Information Technology Services,258.8825,324.9,214.5,6953160
AXP,Financial Services,Credit Services,344.71,387.49,220.43,3319550
MCD,Consumer Cyclical,Restaurants,327.2554,335.67,283.47,3974150
INTC,Technology,Semiconductors,46.395,54.6,17.67,104248930
LIN,Basic Materials,Specialty Chemicals,481.82,488.54,387.78,3185170
GEV,Industrials,Specialty Industrial Machinery,822.68,846.0,252.25,3296280
PEP,Consumer Defensive,Beverages - Non-Alcoholic,161.78,171.48,127.6,11528350
