Ticker,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário,Market Cap,P/L,P/L Futuro,P/VP,PEG Ratio,Margem Lucro,ROE,ROA,Crescimento Receita,Dividend Yield,Beta,Dívida/Patrimônio,Short Ratio
NVDA,Technology,Semiconductors,192.04,212.19,86.62,163224800,4675232858112,47.53094,24.43806,39.252857,,0.53007,1.07359,0.53528,0.625,0.02,2.314,9.102,1.61
AAPL,Technology,Consumer Electronics,272.91,288.62,169.21,47115370,4011210833920,34.501896,29.347782,45.500168,,0.27037,1.5202099,0.24377,0.157,0.39,1.107,102.63,2.36
MSFT,Technology,Software - Infrastructure,386.385,555.45,344.79,36840780,2871759470592,24.164165,20.498323,7.3436284,,0.39044,0.34390998,0.1486,0.167,0.95,1.084,31.539,1.8
AMZN,Consumer Cyclical,Internet Retail,209.1,258.6,161.38,65012090,2244671963136,29.203913,22.496765,5.458675,,0.108339995,0.22286,0.06928,0.136,,1.385,43.435,1.78
GOOGL,Communication Services,Internet Content & Information,310.9,349.0,140.53,38863730,3760957423616,28.760405,23.180285,9.050156,,0.32810003,0.35705003,0.15427,0.18,0.27,1.086,16.133,2.55
GOOG,Communication Services,Internet Content & Information,311.13,350.15,142.66,22814980,3763739820032,28.755085,23.197433,9.05685,,0.32810003,0.35705003,0.15427,0.18,0.27,1.086,16.133,2.63
META,Communication Services,Internet Content & Information,638.22,796.25,479.8,12703780,1614412775424,27.146744,17.834099,7.4326572,,0.30084,0.30238,0.16212,0.238,0.33,1.284,39.164,1.87
AVGO,Technology,Semiconductors,325.155,414.61,138.1,19336680,1541648809984,68.30987,22.388678,5.4905353,,0.36198002,0.31048,0.09788,0.164,0.79,1.221,166.032,2.18
TSLA,Consumer Cyclical,Auto Manufacturers,403.5849,498.83,214.25,57367690,1514478501888,373.70297,143.92052,18.431713,,0.040009998,0.049250003,0.02095,-0.031,,1.887,17.763,1.02
BRK.B,,,0.0,0.0,0.0,0,0,,,,,,,,,,,,
WMT,Consumer Defensive,Discount Stores,127.51,134.69,79.81,30688450,1016618287104,46.70696,38.82517,10.203249,,0.0307,0.21847,0.06869,0.056,0.79,0.671,63.19,2.26
LLY,Healthcare,Drug Manufacturers - General,1055.92,1133.95,623.78,3223710,996110041088,45.96953,25.259047,35.60681,,0.31667,1.01159,0.19415002,0.426,0.59,0.394,165.31,2.48
JPM,Financial Services,Banks - Diversified,295.67,337.25,202.16,9621170,797431627776,14.761358,12.585816,2.3283303,,0.3391,0.16134001,0.01354,0.025,2.02,1.053,,1.62
XOM,Energy,Oil & Gas Integrated,149.43,156.93,97.8,21290480,630171041792,22.33632,17.924143,2.407482,,0.089049995,0.110810004,0.04902,-0.013,2.73,0.358,18.936,2.65
JNJ,Healthcare,Drug Manufacturers - General,246.605,247.25,141.5,9800220,594293161984,22.33741,19.66207,7.2820015,,0.28456,0.35029998,0.086780004,0.091,2.12,0.347,60.499,2.16
V,Financial Services,Credit Services,305.6,375.51,299.0,8515270,589208879104,28.721804,21.028889,15.254068,,0.50233,0.53954,0.18364,0.146,0.87,0.78,54.612,3.21
MU,Technology,Semiconductors,429.965,455.5,61.54,33209760,484025237504,40.879276,9.652401,8.234404,,0.28146,0.22554001,0.10934,0.567,0.11,1.505,21.244,0.83
COST,Consumer Defensive,Discount Stores,995.65,1067.08,844.06,1960440,442026491904,53.414703,44.71851,14.585714,,0.02961,0.30325,0.08524,0.083,0.53,1.008,26.968,2.68
MA,Financial Services,Credit Services,493.765,601.77,465.59,3642040,440654495744,29.888922,21.82958,57.056274,,0.45646998,2.09915,0.23719999,0.176,0.7,0.821,256.042,1.65
ORCL,Technology,Software - Infrastructure,144.46,345.72,118.86,26712420,415191203840,27.205275,18.275806,13.857075,,0.25280002,0.69026,0.06864,0.142,1.42,1.633,432.511,1.55
ABBV,Healthcare,Drug Manufacturers - General,228.84,244.81,164.39,6838390,404448280576,96.9661,14.239588,-123.697296,,0.0691,62.25,0.09807,0.1,2.94,0.334,,2.86
HD,Consumer Cyclical,Home Improvement Retail,388.1,426.75,326.31,3548260,386358018048,26.473398,23.647907,31.871561,,0.087740004,1.62909,0.13226,0.028,2.44,1.089,544.586,2.78
PG,Consumer Defensive,Household & Personal Products,165.405,179.99,137.62,12383650,386507407360,24.468195,22.56339,7.353621,,0.19299999,0.31562,0.10898,0.015,2.56,0.38,68.719,2.03
CVX,Energy,Oil & Gas Integrated,184.977,187.9,132.04,9623780,369834426368,27.857983,20.201937,1.9481106,,0.06611,0.0716,,-0.06,3.85,0.672,21.239,1.7
BAC,Financial Services,Banks - Diversified,50.215,57.55,33.07,41403600,366694825984,13.1797905,10.106204,1.3062875,,0.28401,0.1019,0.00915,0.132,2.15,1.273,,2.41
